file,where,original,updated
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/31/label,Color d'arrière plan de la deuxième colonne,Second column background color
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/32/label,Afficher la color en alternance des rangées,Alternate row colors
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/2/info,"Si aucune image n'est sélectionnée, les options de color d'arrière-plan ci-dessous seront appliquées.","If no image is selected, the background color options below will be applied."
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/14/label,Color du titre overlay,Overlay title color
/Users/asc/Shopify/TPS RAW V1/sections/instagram-gallery.liquid,schema:settings/24/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/recently-viewed.liquid,schema:settings/16/label,Quantity maximale de produits à afficher,Maximum number of products to display
/Users/asc/Shopify/TPS RAW V1/sections/template-collection.liquid,schema:settings/7/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/featured-collections.liquid,schema:settings/28/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/age-verfication-modal.liquid,schema:settings/14/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/2/info,"Si aucune image n'est sélectionnée, les options de color d'arrière-plan ci-dessous seront appliquées.","If no image is selected, the background color options below will be applied."
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/14/label,Color du fond de la vidéo,Video background color
/Users/asc/Shopify/TPS RAW V1/sections/video-with-text.liquid,schema:settings/44/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/5/settings/11/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/collage-dynamique.liquid,schema:blocks/7/settings/7/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/15/label,Color du titre overlay,Overlay title color
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:settings/24/label,Color du bouton,Button color
/Users/asc/Shopify/TPS RAW V1/sections/icon-blocks.liquid,schema:blocks/0/settings/20/label,Color du bouton,Button color
